Date,Time,Op,Shift,Packing Station,Work Station,Box Code,Box Num,PN,DPN,Harness SN,Box/Ref Manifest,Manifest,Production SN
08-11-2018,00:01:59,NO USER OPTION,0,Sannicolau Mare,DEFAULT,001,10900,04C972627P,35015782,04C 972 627 PUVS081118000416104C972627P_00060,,,NONE
08-11-2018,08:11:11,NO USER OPTION,0,Sannicolau Mare,DEFAULT,001,10900,04C972627P,35015782,04C 972 627 PUVS081118072021104C972627P_00060,,,NONE
08-11-2018,08:11:34,NO USER OPTION,0,Sannicolau Mare,DEFAULT,001,10900,04C972627P,35015782,04C 972 627 PUVS081118071514104C972627P_00060,,,NONE
08-11-2018,08:12:01,NO USER OPTION,0,Sannicolau Mare,DEFAULT,001,10900,04C972627P,35015782,04C 972 627 PUVS081118072214104C972627P_00060,,,NONE
08-11-2018,08:13:13,NO USER OPTION,0,Sannicolau Mare,DEFAULT,001,10900,04C972627P,35015782,04C 972 627 PUVS081118071818104C972627P_00060,,,NONE
08-11-2018,08:13:43,NO USER OPTION,0,Sannicolau Mare,DEFAULT,001,10901,04C972627P,35015782,04C 972 627 PUVS081118074144104C972627P_00060,,,NONE
08-11-2018,08:14:23,NO USER OPTION,0,Sannicolau Mare,DEFAULT,001,10901,04C972627P,35015782,04C 972 627 PUVS081118073216104C972627P_00060,,,NONE
08-11-2018,08:15:05,NO USER OPTION,0,Sannicolau Mare,DEFAULT,001,10901,04C972627P,35015782,04C 972 627 PUVS081118073017104C972627P_00060,,,NONE
08-11-2018,08:15:33,NO USER OPTION,0,Sannicolau Mare,DEFAULT,001,10901,04C972627P,35015782,04C 972 627 PUVS081118072444104C972627P_00060,,,NONE
08-11-2018,08:16:01,NO USER OPTION,0,Sannicolau Mare,DEFAULT,001,10901,04C972627P,35015782,04C 972 627 PUVS081118075047104C972627P_00060,,,NONE
08-11-2018,08:16:27,NO USER OPTION,0,Sannicolau Mare,DEFAULT,001,10901,04C972627P,35015782,04C 972 627 PUVS081118074344104C972627P_00060,,,NONE
08-11-2018,08:17:55,NO USER OPTION,0,Sannicolau Mare,DEFAULT,001,10901,04C972627P,35015782,04C 972 627 PUVS081118074819104C972627P_00060,,,NONE
